emp_id,first_name,last_name,date_of_birth,date_of_joining,email_address,department,designation,level,office_location,active
401,Brandi,Blankenship,1963-07-12,2023-08-02,brandi.blankenship_401@desimplified.com,HR,Director,L1,Lille,Yes
402,Ryan,Morrison,1995-04-29,2020-09-18,ryan.morrison_402@desimplified.com,IT,Regulatory Affairs Specialist,L2,Nagasaki,Yes
403,Rachel,Preston,1994-12-11,2023-02-05,rachel.preston_403@desimplified.com,HR,HR Business Partner,L4,Southampton,Yes
404,Kimberly,Gonzales,1967-10-07,2023-01-12,kimberly.gonzales_404@desimplified.com,Marketing,Drug Safety Specialist,L3,Liverpool,Yes
405,Kirsten,Dixon,1981-06-21,2023-09-05,kirsten.dixon_405@desimplified.com,Finance,Finance Controller,L3,Fukuoka,Yes
406,Sarah,Smith,1984-03-08,2022-02-17,sarah.smith_406@desimplified.com,Research & Development,Team Leader,L1,Liverpool,Yes
407,Danielle,White,1973-01-29,2021-07-06,danielle.white_407@desimplified.com,Compliance,Vice President,L1,Birmingham,Yes
408,Jonathon,Johnson,1991-08-29,2023-01-12,jonathon.johnson_408@desimplified.com,Research & Development,Team Leader,L5,Marseille,Yes
409,Ronald,Ward,1986-07-12,2021-01-15,ronald.ward_409@desimplified.com,Quality Assurance,Manager,L4,Mumbai,Yes
410,Mary,Bradford,1995-05-26,2021-02-10,mary.bradford_410@desimplified.com,Research & Development,Team Leader,L5,Kolkata,Yes
411,Steven,Pace,1977-10-25,2019-11-11,steven.pace_411@desimplified.com,IT,HR Business Partner,L2,Hyderabad,Yes
412,Gina,Norman,1979-04-21,2019-08-06,gina.norman_412@desimplified.com,Quality Assurance,Team Leader,L4,Hiroshima,Yes
413,Diana,Sanchez,1992-01-25,2023-11-28,diana.sanchez_413@desimplified.com,Supply Chain Management,Clinical Research Associate,L1,Indore,Yes
414,Stephanie,Stevenson,1995-08-01,2019-08-13,stephanie.stevenson_414@desimplified.com,HR,Senior Vice President,L4,Nice,Yes
415,Dustin,Hill,1994-12-10,2021-10-30,dustin.hill_415@desimplified.com,Clinical Operations,Senior Vice President,L5,Osaka,Yes
416,Tammy,Garrett,1970-01-23,2023-04-21,tammy.garrett_416@desimplified.com,Support,Senior Vice President,L1,Boston,Yes
417,Johnathan,Russell,1971-07-29,2020-05-09,johnathan.russell_417@desimplified.com,Sales,Senior Auditor,L2,Indore,Yes
418,Tina,Ballard,1977-05-12,2022-06-01,tina.ballard_418@desimplified.com,Regulatory Affairs,Legal Counsel,L5,Edinburgh,Yes
419,Bryan,Harris,1967-12-09,2019-08-14,bryan.harris_419@desimplified.com,Marketing,Data Analyst,L1,Rennes,Yes
420,Michael,Ware,1971-03-21,2021-03-16,michael.ware_420@desimplified.com,Regulatory Affairs,Finance Controller,L1,Toulouse,Yes
421,Brandon,Vega,1969-07-26,2023-12-24,brandon.vega_421@desimplified.com,Regulatory Affairs,Legal Counsel,L2,Montpellier,Yes
422,Janice,Ingram,1978-09-18,2023-09-04,janice.ingram_422@desimplified.com,Finance,Team Leader,L3,Austin,Yes
