CUST_KEY,NAME,ADDRESS,NATION_NAME,PHONE,ACCT_BAL,MKT_SEGMENT
2486,Customer#000002486,l8Nok1BAkTS0ysB6SeDeoz mCMY2po,INDIA,18-587-372-7983,2968.82,MACHINERY
2499,Customer#000002499,IdMMSgg3OJuRvrweXl9lkAQw8nQnnCbQVOFfLwu,INDIA,18-402-713-4163,3931.84,BUILDING
2505,Customer#000002505,"7Lvuk, h k,,342lVlRTQe6P6,augrJ",INDIA,18-498-145-6268,4453.85,FURNITURE
2516,Customer#000002516,LpxveozIXS,INDIA,18-260-145-1615,5720.60,BUILDING
2579,Customer#000002579,cQnDYaqeaQ uPdgCq2gtbIm,INDIA,18-938-963-3515,319.72,MACHINERY
2610,Customer#000002610,"g1zCIKCqtH ,SUwR3ivZxjI,8ZasiiIZ0 D",INDIA,18-131-289-5237,9226.63,AUTOMOBILE
2615,Customer#000002615,"NaJgUm,ecmE",INDIA,18-178-878-4939,4379.10,BUILDING
2637,Customer#000002637,YGaCTJdqCQsi6l09MfB ,INDIA,18-238-515-5826,3345.45,AUTOMOBILE
2654,Customer#000002654,KqhPBGQ0aEm0ey4qnVbRJoocNqT0ohckrfUtdie2,INDIA,18-605-221-5697,8841.01,MACHINERY
2666,Customer#000002666,XHTkcgjtR0dd,INDIA,18-759-469-3026,6272.47,AUTOMOBILE
