emp_id,first_name,last_name,date_of_birth,date_of_joining,email_address,department,designation,level,office_location,active
301,Dana,Nichols,1968-09-02,2022-03-12,dana.nichols_301@desimplified.com,Medical Affairs,Vice President,L5,Leicester,Yes
302,Wendy,Schwartz,1981-05-23,2019-09-16,wendy.schwartz_302@desimplified.com,Clinical Operations,Quality Assurance Manager,L3,Austin,Yes
303,Sarah,Jones,1995-02-05,2019-08-14,sarah.jones_303@desimplified.com,Legal,Manager,L1,Pune,Yes
304,John,Garza,1970-09-05,2020-08-08,john.garza_304@desimplified.com,Supply Chain Management,Manager,L4,Montpellier,Yes
305,Craig,Poole,1970-09-25,2020-07-13,craig.poole_305@desimplified.com,Sales,Director,L3,Marseille,Yes
306,Jerry,Gibson,1961-04-24,2023-01-02,jerry.gibson_306@desimplified.com,HR,Regulatory Affairs Specialist,L3,Manchester,Yes
307,Madeline,Green,2001-06-18,2023-04-17,madeline.green_307@desimplified.com,Supply Chain Management,Drug Safety Specialist,L1,Paris,Yes
308,Michelle,Berry,1977-01-09,2023-01-17,michelle.berry_308@desimplified.com,Research & Development,Senior Vice President,L2,Nagoya,Yes
309,Phillip,Gonzalez,1987-02-23,2020-08-28,phillip.gonzalez_309@desimplified.com,Production,Finance Controller,L5,Kumamoto,Yes
310,Erica,Castillo,1970-09-08,2020-06-01,erica.castillo_310@desimplified.com,Quality Assurance,Clinical Research Associate,L5,Cardiff,Yes
311,Charles,Baker,1959-02-26,2023-09-03,charles.baker_311@desimplified.com,Medical Affairs,Regulatory Affairs Specialist,L5,Kumamoto,Yes
312,Ashley,Foster,1971-01-20,2022-01-30,ashley.foster_312@desimplified.com,Medical Affairs,Drug Safety Specialist,L4,Rennes,Yes
313,Lori,Monroe,1977-04-14,2022-01-19,lori.monroe_313@desimplified.com,Medical Affairs,Regulatory Affairs Specialist,L1,Fukuoka,Yes
314,Christopher,Adams,2000-01-24,2021-02-16,christopher.adams_314@desimplified.com,Clinical Operations,Senior Vice President,L4,Birmingham,Yes
315,Stephen,Banks,2000-11-15,2021-08-24,stephen.banks_315@desimplified.com,Support,Team Leader,L1,Mumbai,Yes
316,Jesse,Davis,1970-10-28,2020-08-16,jesse.davis_316@desimplified.com,Support,Manager,L3,Strasbourg,Yes
317,Jennifer,Lopez,1981-06-27,2019-07-03,jennifer.lopez_317@desimplified.com,Marketing,Finance Controller,L5,Los Angeles,Yes
318,Jessica,Perez,1976-06-08,2020-05-23,jessica.perez_318@desimplified.com,IT,Systems Analyst,L2,Sapporo,Yes
319,Christina,Garcia,1990-02-16,2023-11-18,christina.garcia_319@desimplified.com,Legal,HR Business Partner,L1,Kobe,Yes
320,Angela,Garcia,1973-12-20,2019-05-14,angela.garcia_320@desimplified.com,Marketing,IT Project Manager,L2,Lucknow,Yes
321,Mathew,Wilson,1967-11-10,2020-04-07,mathew.wilson_321@desimplified.com,Marketing,Research Scientist,L3,Marseille,Yes
322,Ralph,Martin,1987-08-10,2023-10-13,ralph.martin_322@desimplified.com,Finance,Legal Counsel,L1,Reims,Yes
323,Shane,Shaw,1963-09-05,2021-09-14,shane.shaw_323@desimplified.com,Production,Senior Auditor,L2,New York,Yes
324,Deanna,Brown,1980-09-24,2019-08-01,deanna.brown_324@desimplified.com,Regulatory Affairs,HR Business Partner,L2,Nottingham,Yes
325,Bonnie,Alvarez,1997-02-19,2022-12-30,bonnie.alvarez_325@desimplified.com,IT,Team Leader,L1,Bristol,Yes
326,Paul,Mitchell,1993-05-04,2021-10-24,paul.mitchell_326@desimplified.com,Finance,Senior Auditor,L5,Nottingham,Yes
327,Ryan,Carter,1978-09-29,2022-05-07,ryan.carter_327@desimplified.com,Compliance,Data Analyst,L3,New York,Yes
328,Natasha,Hoffman,1986-07-15,2023-08-09,natasha.hoffman_328@desimplified.com,Clinical Operations,Regulatory Affairs Specialist,L2,Boston,Yes
329,Eddie,Dalton,1990-02-22,2019-03-18,eddie.dalton_329@desimplified.com,Sales,Senior Vice President,L4,Seattle,Yes
330,Christopher,Alexander,2000-03-24,2022-01-04,christopher.alexander_330@desimplified.com,Regulatory Affairs,Regulatory Affairs Specialist,L4,Lucknow,Yes
