emp_id,first_name,last_name,date_of_birth,date_of_joining,email_address,department,designation,level,office_location,active
101,Robert,Andrews,1997-04-30,2023-01-01,robert.andrews_101@desimplified.com,Research & Development,Vice President,L3,Kobe,Yes
102,Paul,Murphy,1987-04-18,2023-04-19,paul.murphy_102@desimplified.com,IT,Drug Safety Specialist,L2,Marseille,Yes
103,Monica,Gonzalez,1995-09-15,2021-07-25,monica.gonzalez_103@desimplified.com,Medical Affairs,Team Leader,L4,Dijon,Yes
104,Adam,Chapman,1984-07-04,2021-03-01,adam.chapman_104@desimplified.com,Marketing,Quality Assurance Manager,L5,Birmingham,Yes
105,Christopher,Brooks,1998-07-26,2019-02-23,christopher.brooks_105@desimplified.com,Regulatory Affairs,Clinical Research Associate,L4,Rennes,Yes
106,George,Lowe,1989-04-15,2021-05-04,george.lowe_106@desimplified.com,Research & Development,Supply Chain Manager,L4,Hyderabad,Yes
107,Paige,Gonzales,1979-05-17,2023-12-21,paige.gonzales_107@desimplified.com,Production,Regulatory Affairs Specialist,L4,Hyderabad,Yes
108,Julie,King,1961-08-06,2021-04-12,julie.king_108@desimplified.com,Research & Development,Data Analyst,L2,Ahmedabad,Yes
109,Michelle,Richards,1974-08-09,2022-04-24,michelle.richards_109@desimplified.com,Legal,Vice President,L5,Sendai,Yes
110,Cindy,Leonard,1970-02-23,2021-02-06,cindy.leonard_110@desimplified.com,Supply Chain Management,Director,L1,Kanpur,Yes
111,Carrie,Smith,1986-04-23,2019-04-10,carrie.smith_111@desimplified.com,Supply Chain Management,Team Leader,L5,Leicester,Yes
112,James,Walter,1966-03-25,2023-09-06,james.walter_112@desimplified.com,Production,Manager,L5,Leeds,Yes
113,Christopher,Bridges,1960-08-18,2019-01-13,christopher.bridges_113@desimplified.com,Finance,Research Scientist,L4,Sheffield,Yes
114,Cole,Wiley,1999-01-22,2019-06-10,cole.wiley_114@desimplified.com,Support,Data Analyst,L2,Mumbai,Yes
115,Amber,Combs,1959-07-03,2022-10-11,amber.combs_115@desimplified.com,Research & Development,Drug Safety Specialist,L2,Belfast,Yes
116,Anita,Matthews,1995-08-01,2021-07-24,anita.matthews_116@desimplified.com,Finance,Senior Vice President,L2,London,Yes
117,Tracey,Luna,1986-01-14,2019-04-25,tracey.luna_117@desimplified.com,Research & Development,Legal Counsel,L1,Dijon,Yes
118,Emily,Hill,1982-08-18,2023-06-03,emily.hill_118@desimplified.com,Clinical Operations,Data Analyst,L5,Bristol,Yes
119,Robert,Anderson,1961-10-27,2022-08-03,robert.anderson_119@desimplified.com,Production,Legal Counsel,L3,Nice,Yes
120,Nicole,Quinn,1995-03-25,2021-08-17,nicole.quinn_120@desimplified.com,Compliance,Regulatory Affairs Specialist,L2,Kumamoto,Yes
121,Tracey,Taylor,1981-12-02,2021-04-12,tracey.taylor_121@desimplified.com,Medical Affairs,Data Analyst,L4,Tokyo,Yes
122,Michael,Adams,1990-07-20,2019-07-10,michael.adams_122@desimplified.com,Sales,Manager,L1,Liverpool,Yes
123,Tricia,Harvey,1962-08-11,2019-08-16,tricia.harvey_123@desimplified.com,Legal,Senior Auditor,L5,Cardiff,Yes
124,Lori,Miller,2000-02-29,2023-05-05,lori.miller_124@desimplified.com,Research & Development,Regulatory Affairs Specialist,L2,Austin,Yes
125,Edwin,Johnson,1972-05-21,2023-12-20,edwin.johnson_125@desimplified.com,Quality Assurance,Systems Analyst,L3,Boston,Yes
126,Scott,Kennedy,1973-07-17,2022-02-05,scott.kennedy_126@desimplified.com,Clinical Operations,Medical Writer,L1,Montpellier,Yes
127,Ryan,Vargas,1987-04-14,2023-06-10,ryan.vargas_127@desimplified.com,Compliance,Legal Counsel,L2,Sheffield,Yes
128,Beth,Sanchez,1988-11-16,2020-03-14,beth.sanchez_128@desimplified.com,Supply Chain Management,Supply Chain Manager,L2,Nantes,Yes
129,Kayla,Thomas,1983-06-05,2021-01-19,kayla.thomas_129@desimplified.com,Finance,Team Leader,L4,Chennai,Yes
130,Dylan,Mercado,1983-11-30,2022-10-09,dylan.mercado_130@desimplified.com,Quality Assurance,Vice President,L2,Bristol,Yes
131,Patricia,Carr,1992-02-02,2023-04-10,patricia.carr_131@desimplified.com,Research & Development,Regulatory Affairs Specialist,L3,Kanpur,Yes
132,Aaron,Harper,1999-10-15,2022-07-21,aaron.harper_132@desimplified.com,Marketing,Quality Assurance Manager,L5,New York,Yes
133,Adam,Costa,1996-10-28,2020-06-04,adam.costa_133@desimplified.com,Support,Vice President,L1,Nantes,Yes
134,Ashley,Harvey,1960-12-07,2021-02-19,ashley.harvey_134@desimplified.com,Clinical Operations,Regulatory Affairs Specialist,L1,Lille,Yes
135,Sherri,White,1983-11-27,2019-07-02,sherri.white_135@desimplified.com,HR,HR Business Partner,L2,Leicester,Yes
136,Paul,Wiggins,1965-08-27,2019-07-12,paul.wiggins_136@desimplified.com,Clinical Operations,Clinical Research Associate,L1,Hiroshima,Yes
137,Jessica,Myers,1975-12-01,2023-06-15,jessica.myers_137@desimplified.com,Medical Affairs,Senior Auditor,L2,Nagasaki,Yes
138,Thomas,Ellis,1968-10-21,2020-01-27,thomas.ellis_138@desimplified.com,IT,Legal Counsel,L3,Bristol,Yes
139,Tiffany,Lam,1997-04-12,2021-01-16,tiffany.lam_139@desimplified.com,Clinical Operations,Regulatory Affairs Specialist,L3,Bhopal,Yes
140,Emily,Price,1984-10-27,2019-01-08,emily.price_140@desimplified.com,Compliance,Vice President,L5,Strasbourg,Yes
141,Ruben,Cook,2001-07-10,2020-10-01,ruben.cook_141@desimplified.com,Supply Chain Management,Data Analyst,L1,Leeds,Yes
142,John,Warren,1994-07-12,2019-05-23,john.warren_142@desimplified.com,Marketing,Supply Chain Manager,L4,Hiroshima,Yes
143,Veronica,Hatfield,1964-11-09,2023-08-27,veronica.hatfield_143@desimplified.com,HR,Team Leader,L5,Chennai,Yes
144,Joel,Pope,1979-10-21,2020-08-25,joel.pope_144@desimplified.com,IT,Supply Chain Manager,L3,Strasbourg,Yes
145,William,Smith,1960-06-15,2023-02-16,william.smith_145@desimplified.com,Finance,Team Leader,L1,Nara,Yes
146,Dana,Gordon,1958-10-27,2019-12-10,dana.gordon_146@desimplified.com,Compliance,Senior Vice President,L1,Hyderabad,Yes
147,Erica,Odonnell,1963-08-04,2021-02-19,erica.odonnell_147@desimplified.com,Compliance,Supply Chain Manager,L4,Osaka,Yes
148,Karen,Ortega,2001-03-05,2019-02-04,karen.ortega_148@desimplified.com,Compliance,Director,L2,Nagoya,Yes
149,Alan,Chaney,1982-09-12,2022-06-13,alan.chaney_149@desimplified.com,Supply Chain Management,Legal Counsel,L4,Newcastle,Yes
150,Cindy,Washington,1993-02-10,2021-01-18,cindy.washington_150@desimplified.com,Compliance,Finance Controller,L3,Nara,Yes
151,John,Ferrell,1983-09-13,2020-09-23,john.ferrell_151@desimplified.com,Production,Regulatory Affairs Specialist,L2,Los Angeles,Yes
152,Bobby,Carter,1966-05-09,2021-01-13,bobby.carter_152@desimplified.com,Support,Legal Counsel,L2,Lucknow,Yes
153,Martin,Wells,1995-07-24,2022-07-15,martin.wells_153@desimplified.com,Research & Development,Director,L1,Kanpur,Yes
154,Jeff,Adams,1964-07-20,2020-04-11,jeff.adams_154@desimplified.com,Production,Research Scientist,L2,Lille,Yes
155,Krystal,Blackburn,1997-02-28,2022-04-16,krystal.blackburn_155@desimplified.com,Compliance,Team Leader,L5,Manchester,Yes
156,Evan,Ayers,1987-11-27,2020-11-27,evan.ayers_156@desimplified.com,Marketing,Quality Assurance Manager,L1,Sendai,Yes
